gene	chromosome	start	end	CNV_value
KLRB1	chr12	9594551	9607916	-0.05243142402801554
KLRC1	chr12	10442264	10454685	-0.04334391504790958
KLRC2	chr12	10426854	10442300	-0.05243142402801554
KLRD1	chr12	10226058	10329608	-0.05243142402801554
KLRF1	chr12	9827481	9845007	-0.05243142402801554
KLRG1	chr12	8950044	9010760	-0.06245676698558549
KLRK1	chr12	10372353	10391874	-0.05243142402801554
KMO	chr1	241532134	241595642	0.13960872772036745
KMT2A	chr11	118436490	118526832	-0.007050972372759938
KMT2D	chr12	49018975	49059774	-0.00017525960290996431
KNDC1	chr10	133160219	133226412	
KNSTRN	chr15	40382721	40394246	0.0026748072224950254
KPNA1	chr3	122421902	122514945	-7.295421950521448e-05
KPNA2	chr17	68035708	68046854	0.0005195564121448308
KPNA3	chr13	49699320	49792682	-0.011062722026995882
KPNA6	chr1	32108056	32176563	0.002703013181809804
KPNB1	chr17	47649476	47685505	0.02591790497108404
KPRP	chr1	152759561	152762052	0.0033458577655039426
KRAS	chr12	25205246	25250936	-0.0034828923766608943
KRT15	chr17	41513745	41522529	0.14850357945176026
KRT19	chr17	41523617	41528308	0.14850357945176026
KRT20	chr17	40875889	40885242	0.14850357945176026
KRTCAP2	chr1	155169408	155173475	0.0009447256351256569
KXD1	chr19	18557762	18569387	0.00011517494160196627
L1CAM	chrX	153861514	153886173	
LACC1	chr13	43879284	43893932	-0.014834279020482018
LACRT	chr12	54630811	54634895	2.276256388756982e-05
LAD1	chr1	201380833	201399915	4.5618617177241594e-05
LAG3	chr12	6772512	6778455	-0.067834381043737
LAIR1	chr19	54351384	54370558	-0.000851762138085447
LAIR2	chr19	54497879	54510687	-0.000851762138085447
LAMA3	chr18	23689443	23956222	-0.03381473962030213
LAMB1	chr7	107923799	108003187	0.00022043217152534913
LAMB3	chr1	209614870	209652425	0.00596049177159256
LAMC1	chr1	183023420	183145592	-0.0004366405930479371
LAMC2	chr1	183186238	183245127	-0.0004366405930479371
LAMP1	chr13	113297239	113323672	
LAMP2	chrX	120426148	120469365	
LAMP3	chr3	183122215	183163839	0.0006244303440802904
LANCL1	chr2	210431249	210477652	0.03647947861261257
LANCL2	chr7	55365448	55433742	0.0013359829688630546
LAPTM4B	chr8	97775057	97853013	0.000569577304024539
LARP4	chr12	50392383	50480004	-7.851452747788239e-05
LARP4B	chr10	806914	931705	-0.032771326480445666
LASP1	chr17	38869859	38921770	0.15987255528592378
LAT	chr16	28984826	28990783	0.0007237163116299317
LATS1	chr6	149658153	149718105	0.00887087449816526
LATS2	chr13	20973036	21061586	-0.0350962107475691
LBH	chr2	30231534	30323730	0.0006508387604871469
LBP	chr20	38346482	38377013	-0.0001926930305975184
LBX1	chr10	101226195	101229794	-0.0006966712971070071
LCAT	chr16	67939750	67944131	0.01358975238224288
LCK	chr1	32251239	32286165	0.002703013181809804
LDB3	chr10	86668449	86736068	-1.3390626304210829e-05
LDHA	chr11	18394560	18408425	0.00042123636307598975
LDLR	chr19	11089462	11133820	0.02890830333847734
LDLRAD4	chr18	13217498	13652755	-0.03381473962030213
LEF1	chr4	108047545	108168956	-0.07936724775730437
LENG8	chr19	54448887	54462037	-0.000851762138085447
LEP	chr7	128241278	128257629	6.73725576128317e-05
LEPR	chr1	65420652	65641559	0.0021664898695518847
LEPROTL1	chr8	30095408	30177208	0.00021480867466759364
LGALS13	chr19	39602501	39607474	2.5862359169178974e-05
LGALS14	chr19	39704481	39709444	2.5862359169178974e-05
LGALS8	chr1	236518000	236552981	0.1126137462508947
LGALS9	chr17	27629798	27649560	-8.797099307625445e-05
LGALSL	chr2	64453969	64461381	9.615995443661535e-05
LGMN	chr14	92703807	92748679	-0.08132505423898645
LGR4	chr11	27365961	27472790	0.0004973024510201649
LGR5	chr12	71439798	71586310	3.762811691452807e-05
LGR6	chr1	202193901	202319781	0.00010796952266883792
LHCGR	chr2	48686774	48755730	0.00017966151107430106
LIF	chr22	30240453	30246759	-0.00016659799599544025
LIFR	chr5	38474668	38608354	0.001815849488023424
LIG3	chr17	34980512	35009743	0.0967543444528365
LIG4	chr13	108207439	108218368	-0.00463512448314386
LILRA1	chr19	54593582	54602381	-0.000851762138085447
LILRA2	chr19	54572920	54590287	-0.000851762138085447
LILRA4	chr19	54333185	54339162	-0.000851762138085447
LILRA5	chr19	54307070	54313166	-0.000851762138085447
LILRA6	chr19	54236592	54242791	-0.000851762138085447
LILRB1	chr19	54617158	54637528	-0.00653054565063833
LILRB2	chr19	54273821	54281184	-0.000851762138085447
LILRB3	chr19	54216278	54223506	-4.185476624158715e-06
LILRB4	chr19	54643889	54670359	-0.00653054565063833
LILRB5	chr19	54249421	54257301	-0.000851762138085447
LIM2	chr19	51379909	51387960	0.00024245146391721717
LIMK1	chr7	74082933	74122525	0.007364943431711107
LIN28A	chr1	26410817	26429728	0.000777844687109851
LIN28B	chr6	104936616	105083332	0.019877851625399096
LINGO2	chr9	27948078	28670286	-0.08977454922074052
LINS1	chr15	100559369	100603230	
LIPA	chr10	89213569	89414557	-0.00011881564136523367
LIPC	chr15	58410569	58569844	0.003778471682409656
LIPE	chr19	42401514	42427388	6.766533940056776e-05
LIPF	chr10	88664441	88678814	-0.00011881564136523367
LIPG	chr18	49560699	49599185	-0.03381473962030213
LLGL2	chr17	75525080	75575208	0.0015271212748442238
LMBR1L	chr12	49096551	49110900	-0.00017525960290996431
LMNB1	chr5	126776623	126837020	0.0019488247956638896
LMO1	chr11	8224309	8268716	0.0005403327151397394
LMO2	chr11	33858576	33892076	0.0005369828061021761
LMX1B	chr9	126614443	126701032	0.027767993957379063
LONP1	chr19	5691834	5720572	0.00042994040518997746
LONRF3	chrX	118974614	119018355	
LOX	chr5	122063195	122078360	0.0019488247956638896
LOXL1	chr15	73925989	73952137	0.0003296311294962174
LOXL2	chr8	23296897	23425328	-6.835300857451329e-05
LPA	chr6	160531483	160664259	0.002697462043891199
LPAR1	chr9	110873263	111038458	0.0015528432279981355
LPAR3	chr1	84811602	84893206	0.00042704823914014586
LPAR5	chr12	6618835	6635960	-0.067834381043737
LPAR6	chr13	48389567	48444704	-0.011062722026995882
LPCAT1	chr5	1456480	1523962	0.008541772995529861
LPIN1	chr2	11677595	11827409	0.000914035748314104
LPL	chr8	19901717	19967259	-0.0002917252353298664
LPXN	chr11	58526871	58578220	0.000636943795567946
LRATD2	chr8	126552443	126558478	0.008026174640372587
LRBA	chr4	150264435	151015727	-0.002289617241669375
LRCH1	chr13	46553168	46753040	-0.014834279020482018
LRG1	chr19	4536402	4540036	0.00042994040518997746
LRIF1	chr1	110947190	110963965	0.000568165470478334
LRP1	chr12	57128483	57213361	0.00017640539255839936
LRP2	chr2	169127109	169362534	3.715584279173508e-05
LRP5	chr11	68312591	68449275	0.009529436209786047
LRP6	chr12	12116025	12267044	-0.04334391504790958
LRPPRC	chr2	43886224	43995989	0.00031110884704675125
LRRC15	chr3	194355247	194369743	0.000763830438812138
LRRC20	chr10	70298970	70382650	0.00031105841972587744
LRRC3	chr21	44455510	44462196	-0.0004919134136229591
LRRC32	chr11	76657524	76670747	9.71009611571417e-05
LRRC38	chr1	13474973	13514003	0.000641076214575656
LRRC3B	chr3	26622806	26717537	-0.11101832035667686
LRRC45	chr17	82023305	82031151	0.009892477408176966
LRRC47	chr1	3778559	3796498	0.0037400227849095987
LRRC59	chr17	50375059	50397523	0.07535126543253585
LRRK2	chr12	40196744	40369285	-0.0034828923766608943
LRRTM1	chr2	80288351	80304752	7.575779268146809e-05
LRTM1	chr3	54918231	54967088	-0.034581866126714336
LSG1	chr3	194640791	194672463	0.000763830438812138
LSM12	chr17	44034328	44067619	0.04205552195059332
LTA	chr6	31572054	31574324	3.978565542470945e-06
LTA4H	chr12	96000753	96043520	2.240002122937098e-05
LTB4R	chr14	24311450	24318036	-0.00380276823861075
LTB4R2	chr14	24305734	24312053	-0.00380276823861075
LTBP1	chr2	32946953	33399509	0.000544388298365933
LTBP2	chr14	74498183	74612378	-0.08500630126655599
LTBR	chr12	6375045	6391571	-0.05197670831832469
LTK	chr15	41503637	41513887	0.0026748072224950254
LUC7L	chr16	188969	229463	0.013170713413434622
LURAP1	chr1	46203334	46221256	0.049390758487010064
LY75	chr2	159803355	159904756	1.0182691168045107e-06
LY9	chr1	160796074	160828261	-0.017348570493744556
LY96	chr8	73991392	74029079	5.047327505746193e-06
LYAR	chr4	4267701	4290154	-0.13004131408159444
LYN	chr8	55879835	56014169	5.9424233657386705e-05
LZIC	chr1	9922113	9943407	0.0021068366157584563
LZTS1	chr8	20246165	20303963	-0.0002917252353298664
MAB21L1	chr13	35473789	35476689	-0.028512742914652448
MAB21L2	chr4	150582151	150584693	-0.002289617241669375
MACC1	chr7	20134655	20217404	-0.0002791836801827818
MAD1L1	chr7	1815793	2233243	-4.729841684267593e-05
MAD2L1	chr4	120055623	120066858	-0.02999896749594418
MAEA	chr4	1289887	1340147	-0.13543776502304397
MAF	chr16	79585843	79600737	0.028847593346476106
MAFB	chr20	40685848	40689236	-0.0001926930305975184
MAFF	chr22	38200767	38216507	-0.0017559965505127546
MAGEA1	chrX	153179284	153183880	
MAGEA10	chrX	152133310	152138578	
MAGEA11	chrX	149688228	149717268	
MAGEA12	chrX	152733757	152737669	
MAGEA3	chrX	152698767	152702347	
MAGEA4	chrX	151912509	151925170	
MAGEB2	chrX	30215563	30220089	
MAGEC1	chrX	141903894	141909374	
MAGEC2	chrX	142202342	142205290	
MAGI1	chr3	65353525	66038834	-0.025358627940254137
MAGI3	chr1	113390515	113685923	0.00032075283169663744
MAK	chr6	10762723	10838555	-0.00014473675024242463
MAL	chr2	95025677	95053992	-5.285337936843565e-05
MAL2	chr8	119165034	119245673	0.008026174640372587
MALL	chr2	110083870	110116022	-0.00020503510995936638
MALT1	chr18	58671465	58754477	-0.03381473962030213
MAML2	chr11	95976598	96343195	-0.001708139029617144
MAN1A1	chr6	119177205	119349761	0.026991936291005957
MAN1B1	chr9	137086985	137109183	
MAN2B1	chr19	12646511	12666742	0.022033621157534114
MANEA	chr6	95577535	95609452	0.013013075087082358
MAOA	chrX	43654907	43746824	
MAOB	chrX	43766610	43882450	
MAP1A	chr15	43510958	43531620	0.002494240172503986
MAP1B	chr5	72107234	72209565	0.0003661442890861914
MAP1LC3A	chr20	34546854	34560345	-0.0002779070822181201
MAP1LC3B	chr16	87383953	87404779	0.019725674801881296
MAP1S	chr19	17719242	17734513	0.001261485372987262
MAP2	chr2	209424058	209734118	0.03647947861261257
MAP2K1	chr15	66386817	66492312	0.0005011003574818951
MAP2K4	chr17	12020829	12143830	-0.0016948967086537437
MAP2K5	chr15	67542703	67807117	0.0005011003574818951
MAP3K1	chr5	56815549	56896152	0.0009127546266015542
MAP3K14	chr17	45263119	45317029	0.02591790497108404
MAP3K15	chrX	19360056	19515261	
MAP3K20	chr2	173075435	173268015	2.7187785413258078e-05
MAP3K5	chr6	136557046	136792477	0.0291946762571223
MAP3K7	chr6	90513573	90587072	0.013013075087082358
MAP3K7CL	chr21	29077471	29175889	-0.0004919134136229591
MAP4	chr3	47850690	48089272	-0.038138960032055386
MAP4K2	chr11	64784918	64803241	0.003685000769892627
MAP4K3	chr2	39249266	39437301	0.00031110884704675125
MAP4K4	chr2	101696850	101894689	-0.00011537053516973061
MAP4K5	chr14	50418501	50561126	-0.00889636089853597
MAP7	chr6	136342281	136550819	0.0291946762571223
MAP7D1	chr1	36155579	36180849	0.020848399463453394
MAPK1	chr22	21754500	21867680	0.005238773645112168
MAPK10	chr4	85990007	86594625	-0.09024349304344671
MAPK11	chr22	50263713	50270767	-0.0004463302749011595
MAPK12	chr22	50245450	50261716	-0.0004463302749011595
MAPK14	chr6	36027677	36111236	0.00018092631164101414
MAPK15	chr8	143716340	143722458	0.0024332502558325063
MAPK3	chr16	30114105	30123506	0.0007675638341198598
MAPK7	chr17	19377721	19383544	-8.797099307625445e-05
MAPK8	chr10	48306639	48439360	-0.00035699643743521413
MAPK8IP1	chr11	45885651	45906465	0.000497399835179321
MAPK8IP2	chr22	50600793	50613981	-0.0004463302749011595
MAPK8IP3	chr16	1706183	1770317	0.0076711826891900075
MAPK9	chr5	180233143	180292099	-0.00156094931121706
MAPKAPK2	chr1	206684944	206734283	0.0009062435663323369
MAPRE2	chr18	34976928	35143470	-0.03381473962030213
MAPT	chr17	45894382	46028334	0.02591790497108404
MARCO	chr2	118942166	118994660	-0.0001850725697362206
MARK2	chr11	63838928	63911019	0.0017269024335820778
MAS1	chr6	159890988	159917447	0.002697462043891199
MASP1	chr3	187217285	187292022	0.0008641157790360995
MASP2	chr1	11026523	11047239	0.0011102918490641844
MAT1A	chr10	80271820	80289658	7.908439244892513e-05
MAVS	chr20	3846799	3876123	-0.0013010007569408417
MAX	chr14	65006174	65102695	-0.05764698793466415
MBL2	chr10	52765380	52771700	-0.00010822042522412568
MBNL1	chr3	152243828	152465780	0.00020313163958505227
MC1R	chr16	89912119	89920977	0.003182299448751606
MC3R	chr20	56248732	56249815	-0.00024289513238184648
MC4R	chr18	60371062	60372775	-0.03381473962030213
MCAM	chr11	119308529	119321521	-0.006122775933771628
MCCC1	chr3	183015218	183116075	0.0006244303440802904
MCHR1	chr22	40678750	40682814	-0.0033673850824723446
MCHR2	chr6	99918519	99994247	0.019877851625399096
MCM2	chr3	127598410	127622436	-4.6802366466423495e-05
MCM3	chr6	52264014	52284881	0.007837123110607812
MCM3AP	chr21	46235133	46286297	-0.0004919134136229591
MCM4	chr8	47960185	47978160	0.00017883905557302356
MCM5	chr22	35400134	35425431	-0.0001650329339043002
MCM6	chr2	135839626	135876443	-3.542801878991141e-05
MCM7	chr7	100092728	100101940	0.0033934197286916647
MCM9	chr6	118813442	118935162	0.026991936291005957
MCPH1	chr8	6406596	6648508	-0.00038707180952460594
MCTP2	chr15	94231538	94483952	-0.0022121996890148905
MCTS1	chrX	120594010	120621159	
MDC1	chr6	30699807	30717447	3.6332272243724896e-05
MDFIC	chr7	114922154	115019202	0.00010812442394252517
MDM1	chr12	68272443	68332381	0.00011380248588039864
MDM2	chr12	68808177	68850686	3.762811691452807e-05
MDM4	chr1	204516379	204558120	0.00021408951442403176
ME1	chr6	83210402	83431051	0.011931072450950287
MECOM	chr3	169083499	169663775	0.00022161827416828826
MED1	chr17	39404285	39451272	0.17930124314049634
MED12	chrX	71118556	71142454	
MED12L	chr3	151085697	151437072	0.00010377308115007898
MEF2A	chr15	99565417	99716466	
MEF2C	chr5	88717117	88904257	0.0007951827129060911
MEG3	chr14	100779410	100861031	-0.06720953592301034
MEGF10	chr5	127290796	127465737	0.0019488247956638896
MEGF8	chr19	42325609	42378769	6.766533940056776e-05
MEIOB	chr16	1833987	1884294	0.0076711826891900075
MEIS1	chr2	66433452	66573869	9.615995443661535e-05
MEIS2	chr15	36889204	37101299	0.004043780019024639
MEIS3	chr19	47403124	47419527	0.0005427902172196493
MELK	chr9	36572862	36677683	-0.04108948254634385
MELTF	chr3	196988621	197029817	0.000273025900581927
MEN1	chr11	64803510	64811294	0.007507225461540621
MEPCE	chr7	100428790	100434118	0.0006075267652087388
MERTK	chr2	111898607	112029561	-0.00020503510995936638
MEST	chr7	130486171	130506465	3.6567375335077536e-05
MET	chr7	116672196	116798386	0.00010812442394252517
METRNL	chr17	83079609	83095122	
METTL16	chr17	2405562	2511891	-0.09339503926227377
METTL18	chr1	169792529	169794963	-0.00844705524627609
METTL2A	chr17	62423867	62450822	0.0026461510323501957
METTL3	chr14	21498133	21511342	-0.007222248875806015
MFAP5	chr12	8637346	8662888	-0.06245676698558549
MFF	chr2	227325151	227357836	0.053689149996191114
MFGE8	chr15	88898683	88913381	-0.000611215282787413
MFN2	chr1	11980181	12013514	0.000641076214575656
MFRP	chr11	119338942	119346705	-0.006122775933771628
MFSD5	chr12	53251251	53254405	2.276256388756982e-05
MGAM	chr7	141907813	142106747	2.7583275680340674e-05
MGMT	chr10	129467190	129770983	-0.08460334718759766
MIAT	chr22	26646411	26676475	0.00019704791692216856
MICA	chr6	31399784	31415315	3.6332272243724896e-05
MICAL2	chr11	12094008	12359144	0.0003643558844173163
MICB	chr6	31494881	31511124	3.6332272243724896e-05
MID2	chrX	107825755	107927193	
MIEN1	chr17	39728496	39730532	0.17930124314049634
MIIP	chr1	12019466	12032045	0.000641076214575656
MINDY1	chr1	150996086	151008375	0.004051103958096159
MINDY2	chr15	58771192	58861900	0.003778471682409656
MINPP1	chr10	87504875	87553461	-1.3390626304210829e-05
MIPOL1	chr14	37197913	37552361	-0.005458685290380866
MITD1	chr2	99161427	99181058	-5.285337936843565e-05
MITF	chr3	69739435	69968337	-0.025358627940254137
MKI67	chr10	128096659	128126423	-0.08460334718759766
MKNK1	chr1	46557408	46616843	0.03124479520221401
MKRN2	chr3	12557087	12583713	-0.12985314947077853
MKRN3	chr15	23565674	23630075	0.004588924611061515
MKX	chr10	27672874	27746060	-0.004173867097552244
MLANA	chr9	5890889	5910606	-0.11639345456569233
MLF1	chr3	158571163	158607252	0.00022161827416828826
MLH1	chr3	36993350	37050846	-0.09406176749711218
MLPH	chr2	237485428	237555322	0.00869518892229871
MLXIP	chr12	122078756	122147344	0.0012394304547421924
MLXIPL	chr7	73593194	73624543	0.0013359829688630546
MMACHC	chr1	45500300	45513382	0.049390758487010064
MMADHC	chr2	149569637	149587778	1.0182691168045107e-06
MME	chr3	155024124	155183729	0.00020313163958505227
MMEL1	chr1	2590639	2633016	0.005415208816122133
MMP11	chr22	23768226	23784316	0.0016049039426985318
MMP12	chr11	102862736	102874982	-0.007125414384012746
MMP13	chr11	102942995	102955732	-0.007125414384012746
MMP14	chr14	22836560	22849027	-0.007222248875806015
MMP16	chr8	88032011	88328025	0.000318216303090948
MMP21	chr10	125753580	125775821	-0.08460334718759766
MMP8	chr11	102711796	102727050	-0.007125414384012746
MMP9	chr20	46008908	46016561	-0.0002644559529816326
MMRN1	chr4	89879532	89954629	-0.08924705924435848
MMRN2	chr10	86935540	86969481	-1.3390626304210829e-05
MNS1	chr15	56421544	56465137	0.003778471682409656
MNX1	chr7	156994051	157010663	
MOB2	chr11	1469457	1501247	0.0028128049948089157
MOB4	chr2	197515571	197553699	0.003669322906443456
MOG	chr6	29657002	29672372	3.6332272243724896e-05
MON2	chr12	62466817	62600476	0.0001584562263202007
MOV10	chr1	112673141	112700746	0.00032075283169663744
MPDU1	chr17	7583529	7592789	-0.050358427928358436
MPDZ	chr9	13105704	13279590	-0.11639345456569233
MPHOSPH9	chr12	123152320	123244014	0.0012394304547421924
MPI	chr15	74890005	74902219	7.468911372748236e-05
MPL	chr1	43337818	43354466	0.05196342837794612
MPLKIP	chr7	40126027	40134622	6.874616514815643e-05
MPO	chr17	58269855	58280935	0.01803529299547653
MPP7	chr10	28050993	28334486	-0.004173867097552244
MPPED1	chr22	43411196	43507848	-0.0018171933487532788
MPPED2	chr11	30384493	30586872	0.0004973024510201649
MPZ	chr1	161304735	161309972	-0.026093719491998346
MPZL1	chr1	167721192	167791919	-0.017182168887364152
MR1	chr1	181033425	181061938	-0.0023899609050197826
MRAP	chr21	32291813	32314784	-0.0004919134136229591
MRAP2	chr6	84033772	84090881	0.011931072450950287
MRC1	chr10	17809348	17911164	-0.012873963989598081
MRC2	chr17	62627670	62693597	0.0006450976308161934
MRE11	chr11	94415578	94493908	-0.001708139029617144
MRFAP1L1	chr4	6707701	6709865	-0.13004131408159444
MRGPRX2	chr11	19054455	19060717	0.00042123636307598975
MRM3	chr17	782353	792509	-0.09771096176374078
MRPL45	chr17	38297023	38323217	0.15987255528592378
MRTFA	chr22	40410281	40636719	-0.0033673850824723446
MRTFB	chr16	14071321	14266773	0.0013526902526049963
MS4A1	chr11	60455752	60470760	0.000636943795567946
MS4A2	chr11	60088261	60098467	0.000636943795567946
MSC	chr8	71841549	71844468	-2.9077859236749906e-05
MSH2	chr2	47403067	47663146	0.00017966151107430106
MSH3	chr5	80654652	80876815	0.0003868854199734932
MSH6	chr2	47695530	47810101	0.00017966151107430106
MSI1	chr12	120341330	120369164	0.0006123650542522869
MSI2	chr17	57255851	57684689	0.01803529299547653
MSLN	chr16	760734	768865	0.013170713413434622
MSN	chrX	65588377	65741931	
MSR1	chr8	16107878	16567490	-0.0002917252353298664
MST1	chr3	49683947	49689501	-0.03629245268400803
MST1R	chr3	49887002	49903873	-0.03629245268400803
MSTN	chr2	190055700	190062729	0.0003384719219201136
MT1A	chr16	56638666	56640087	0.0026440657695812153
MTA1	chr14	105419820	105470729	-0.05453383912870634
MTA2	chr11	62593214	62601865	0.0010815157196392648
MTAP	chr9	21802636	21937651	-0.10830515652353238
MTCH2	chr11	47617315	47642607	0.0005550965363730477
MTCL1	chr18	8705661	8832778	-0.029405424639585172
MTERF2	chr12	106977277	106987160	2.4294260196879936e-05
MTFR1L	chr1	25818640	25832942	0.0003731099274232452
MTHFD1	chr14	64388031	64463457	-0.03559514530806321
MTHFR	chr1	11785723	11806455	0.0011102918490641844
MTNR1A	chr4	186533655	186555567	
MTNR1B	chr11	92969720	92985066	-0.001708139029617144
MTOR	chr1	11106535	11262551	0.0011102918490641844
MTPAP	chr10	30309801	30374448	-0.001017365306644463
MTR	chr1	236795292	236921278	0.1126137462508947
MTRES1	chr6	107028199	107051586	0.026950898656687563
MTREX	chr5	55307989	55425579	0.0009127546266015542
MTRF1	chr13	41216369	41263577	-0.02203826786417181
MUC1	chr1	155185824	155192916	0.0009447256351256569
MUC16	chr19	8848844	8981342	0.010294009387855
MUC19	chr12	40393395	40570832	-0.0034828923766608943
MUC4	chr3	195746765	195811973	0.000273025900581927
MUC5AC	chr11	1157953	1201138	0.0028128049948089157
MUC5B	chr11	1223066	1262172	0.0028128049948089157
MUTYH	chr1	45329163	45340893	0.049390758487010064
MVD	chr16	88651935	88663161	0.003182299448751606
MVP	chr16	29820394	29848039	0.0007237163116299317
MX1	chr21	41420304	41459214	-0.0004919134136229591
MXD1	chr2	69897688	69942945	9.615995443661535e-05
MXRA7	chr17	76672551	76711016	0.003162425782313197
MYB	chr6	135181308	135219173	0.0291946762571223
MYBBP1A	chr17	4538897	4555631	-0.09339503926227377
MYBL2	chr20	43667019	43716495	-0.0001926930305975184
MYC	chr8	127735434	127742951	0.010706999873066765
MYCBP	chr1	38862493	38873368	0.04020297401217017
MYCL	chr1	39895426	39902256	0.04020297401217017
MYCN	chr2	15940550	15947007	0.000914035748314104
MYD88	chr3	38138478	38143022	-0.07944780010754804
MYEF2	chr15	48134632	48178353	0.003103282238128842
MYH1	chr17	10492307	10518542	-0.0016948967086537437
MYH10	chr17	8474205	8630761	-0.011612086230343648
MYH11	chr16	15703135	15857028	0.0013526902526049963
MYH13	chr17	10300865	10373130	-0.011612086230343648
MYH2	chr17	10521148	10549700	-0.0016948967086537437
MYH4	chr17	10443290	10469559	-0.011612086230343648
MYH9	chr22	36281277	36388067	-0.00046724729277857445
MYLIP	chr6	16129086	16148248	0.00013478833979989235
MYLK	chr3	123610049	123884331	-7.295421950521448e-05
MYLK2	chr20	31819308	31834689	-0.0003080128710065813
MYLK3	chr16	46702282	46790407	0.0011365189923910432
MYNN	chr3	169772831	169789716	0.00022161827416828826
MYO15A	chr17	18108706	18179802	-0.00029845357458371027
MYO18B	chr22	25742144	26031041	0.0016049039426985318
MYO1B	chr2	191245185	191425389	0.000960426168522652
MYO1C	chr17	1464186	1492686	-0.09771096176374078
MYO1D	chr17	32492522	32877177	0.010672313811506386
MYO1E	chr15	59132434	59372871	0.0015568326008209817
MYO1F	chr19	8520778	8577577	0.010294009387855
MYO5A	chr15	52307283	52529050	0.003396337514813386
MYO5B	chr18	49822789	50195147	-0.03381473962030213
MYO6	chr6	75749192	75919537	0.009991160828451709
MYO9B	chr19	17075781	17214537	0.001261485372987262
MYOD1	chr11	17719571	17722136	0.00039305162882094546
MYOF	chr10	93306429	93482334	-8.53649829551621e-05
MYOT	chr5	137867858	137887851	0.0013490207609171442
MZB1	chr5	139387467	139390081	0.00034501102998870276
MZF1	chr19	58561931	58573575	
N4BP2	chr4	40056850	40158252	-0.11258455425653785
NAA15	chr4	139301505	139420033	-0.00494972532125631
NAA16	chr13	41311267	41377030	-0.014834279020482018
NAA40	chr11	63938959	63957319	0.0017269024335820778
NAAA	chr4	75913660	75941013	-0.08953452306266499
NACC2	chr9	136006537	136095289	0.14757171828843765
NAIF1	chr9	128061233	128068206	0.05472078756268738
NAIP	chr5	70968483	71025114	0.0003661442890861914
NANOG	chr12	7787794	7799146	-0.06950850039127196
NAP1L3	chrX	93670930	93673578	
NAP1L4	chr11	2944431	2992377	0.0011608171382036139
NAP1L5	chr4	88695913	88697829	-0.09024349304344671
NAT1	chr8	18170477	18223689	-0.0002917252353298664
NAT10	chr11	34105617	34147670	0.0005369828061021761
NAT2	chr8	18391282	18401218	-0.0002917252353298664
NAV1	chr1	201622885	201826969	4.5618617177241594e-05
NAV2	chr11	19350724	20121601	0.00042123636307598975
NBL1	chr1	19596979	19658456	0.0003457959525731649
NBN	chr8	89933336	90003228	0.000569577304024539
NBPF3	chr1	21440128	21485005	0.0003457959525731649
NCAM1	chr11	112961247	113278436	-0.00712746846657141
NCBP1	chr9	97633668	97673748	-0.00010822378975490355
NCBP3	chr17	3802158	3846246	-0.09339503926227377
NCEH1	chr3	172630249	172711218	0.0003967077982037563
NCF1	chr7	74773962	74789376	0.007364943431711107
NCF2	chr1	183555563	183590876	-0.0004366405930479371
NCF4	chr22	36860988	36878017	-0.00046724729277857445
NCK1	chr3	136862208	136951606	-4.961949320535454e-05
NCKAP5	chr2	132671788	133568463	-3.542801878991141e-05
NCLN	chr19	3185563	3209575	0.0003760747592308218
NCOA1	chr2	24491914	24770702	0.000914035748314104
NCOA2	chr8	70109782	70403808	-2.9077859236749906e-05
NCOA3	chr20	47501887	47656877	-0.0002644559529816326
NCOA4	chr10	46005088	46030714	-0.00035699643743521413
NCOR1	chr17	16029157	16218185	-0.0016948967086537437
NCOR2	chr12	124324415	124567589	0.0013663983693762275
NCR1	chr19	54906148	54916140	-0.00653054565063833
NCR2	chr6	41335608	41350889	0.0006825393872440679
NCR3	chr6	31588895	31593006	3.978565542470945e-06
NCS1	chr9	130172404	130237303	0.05472078756268738
NCSTN	chr1	160343316	160358952	-0.017348570493744556
NDNF	chr4	121035613	121073021	-0.02999896749594418
NDP	chrX	43948776	43973395	
NDRG1	chr8	133237171	133302022	0.006421408472578152
NDRG2	chr14	21016763	21070872	-0.007222248875806015
NDRG4	chr16	58462846	58513628	0.005952108749636475
NDST4	chr4	114827763	115113876	-0.05947985058414736
NDUFA3	chr19	54102728	54109257	-4.185476624158715e-06
NDUFAB1	chr16	23581014	23596316	0.0009617560218162
NEBL	chr10	20779973	21174187	-0.004173867097552244
NECAB2	chr16	83968632	84002776	0.028847593346476106
NECTIN1	chr11	119623408	119729200	-0.00449460763659401
NECTIN2	chr19	44846175	44889223	5.298845638138706e-05
NECTIN3	chr3	111070071	111275563	-0.0020924142439839462
NEDD4	chr15	55826922	55993746	0.003778471682409656
NEDD4L	chr18	58044226	58401540	-0.03381473962030213
NEDD9	chr6	11183298	11382348	-0.00014473675024242463
NEFH	chr22	29480218	29491390	0.00019704791692216856
NEFL	chr8	24950955	24957110	6.150810544858858e-05
NEFM	chr8	24913758	24919098	6.150810544858858e-05
NEIL3	chr4	177309874	177362936	-8.575323636440421e-05
NEK1	chr4	169392857	169612629	-0.0004724715012503752
NEK11	chr3	131026850	131350465	-4.961949320535454e-05
NEK2	chr1	211658657	211675630	0.00596049177159256
NEK3	chr13	52132639	52159861	-0.011062722026995882
NEK4	chr3	52708444	52770946	-0.03990214767310227
NEK5	chr13	52033611	52129092	-0.011062722026995882
NEK6	chr9	124257606	124353307	0.012185361668547109
NEK8	chr17	28725897	28743455	0.00038603625037614704
